Species,Wavelength
Fe I,6481.840000000006
Ni I,6482.740000000012
Ti II,6491.56000000007
Ca I,6493.780000000085
Fe I,6494.980000000093
Fe I,6495.700000000098
Fe I,6496.420000000103
Ba II,6496.840000000106
Ti I,6497.680000000111
Fe I,6498.94000000012
Ca I,6499.600000000124
Cr I,6501.1600000001345
Fe I,6501.640000000138
V I,6504.1600000001545
Ca I,6508.780000000185
Fe II,6516.040000000234
Fe I,6518.320000000249
Si I,6526.600000000304
Si I,6527.140000000308
Fe I,6528.520000000317
V I,6531.400000000336
Ni I,6532.840000000346
Fe I,6533.920000000353
Cr I,6537.880000000379
Fe I,6546.220000000435
Fe I,6551.620000000471
Ti I,6554.200000000488
Si I,6555.460000000497
Ti I,6556.0000000005
CN Red 6-2,6558.040000000514
Ti II,6559.540000000524
Si I,6560.560000000531
H,6562.780000000545
CN Red 6-2,6563.980000000553
Ti I,6565.480000000563
Fe I,6569.200000000588
Ca I,6572.740000000612
Fe I,6574.1800000006215
Fe I,6575.020000000627
Fe I,6581.140000000668
Ni I,6586.300000000702
Fe I,6592.900000000746
Fe I,6593.860000000753
Fe I,6597.520000000777
Ni I,6598.540000000784
Ti I,6599.080000000788
Ti I,6604.540000000824
V I,6605.920000000833
Fe I,6607.960000000847
Fe I,6609.100000000854
Fe I,6609.580000000858
Fe I,6613.780000000886
Fe I,6624.94000000096
Fe I,6627.520000000977
Cr I,6629.980000000994
Co I,6632.38000000101
Fe I,6633.700000001018
Fe I,6634.060000001021
Ni I,6635.080000001028
Ni I,6639.760000001059
Ni I,6643.6000000010845
Fe I,6646.9000000011065
Fe I,6648.040000001114
Fe I,6653.8000000011525
Cr I,6661.060000001201
Fe I,6663.340000001216
Co I,6665.320000001229
Fe I,6667.360000001243
Fe I,6677.920000001313
Co I,6678.700000001319
Al I,6695.980000001434
Al I,6698.620000001451
Fe I,6703.480000001484
Fe I,6705.040000001494
Fe I,6710.260000001529
Fe I,6713.0200000015475
Fe I,6713.680000001552
Fe I,6715.300000001563
Fe I,6716.140000001568
Fe I,6717.580000001578
Si I,6721.780000001606
Fe I,6725.3200000016295
Fe I,6726.580000001638
